Regulation,Year,Agency,Cost
"Validation of Merchant Mariners' Vital Information","2006","Homeland Security","77.0m"
"Uniform Certificate of Title Act for Vessels","2022","Homeland Security","129.0k"
"Adverse Effect Wage Rate Methodology for the Temporary Employment of H-2A Nonimmigrants in Non-Range Occupations in the United States","2020","Homeland Security","460.0k"
"Air Cargo Security Requirements","2006","Homeland Security","142.2m"
"Procedures for Asylum and Withholding of Removal; Credible Fear and Reasonable Fear Review","2020","Homeland Security","70.3m"
"Drivers Licensed by Canada or Mexico Transporting Hazardous Materials","2006","Homeland Security","1.7m"
"Designation of Israel for the Visa Waiver Program","2023","Homeland Security","0.0"
"Electronic Signature and Storage of Form I-9, Employment Eligibility Verification","2006","Homeland Security","-13.0m"
"Modification of Registration Requirement for Petitioners Seeking To File Cap-Subject H-1B Petitions","2021","Homeland Security","150.2m"
"Towing Vessel Firefighting Training","2023","Homeland Security","-1.3m"
"Adjustment of Status to Lawful Permanent Resident; Aliens in T or U","2008","Homeland Security","4.9m"
"Inadmissibility on Public Charge Grounds; Implementation of Vacatur","2021","Homeland Security","-352.0m"
"Exercise of Time-Limited Authority To Increase the Fiscal Year 2021 Numerical Limitation for the H-2B Temporary Nonagricultural Worker Program and Portability Flexibility for H-2B Workers Seeking To Change Employers","2021","Homeland Security","18.1m"
"Designation of Croatia for the Visa Waiver Program","2021","Homeland Security","0.0"
"2008 Rates for Pilotage on the Great Lakes","2009","Homeland Security","5.6m"
"Carbon Dioxide Fire Suppression Systems on Commercial Vessels","2012","Homeland Security","2.3m"
"Modification of Registration Requirement for Petitioners Seeking To File Cap-Subject H-1B Petitions, Implementation of Vacatur","2021","Homeland Security","212.0m"
"Establishing U.S. Ports of Entry in the Commonwealth","2009","Homeland Security","70.5m"
"Automation of CBP Form I-418 for Vessels","2021","Homeland Security","-53.3m"
"Consumer Price Index Adjustments of Oil Pollution Act of 1990 Limits ","2009","Homeland Security","68.6m"
"Crewmember Identification Documents","2009","Homeland Security","2.7m"
"Documents Acceptable for Employment Eligibility Verification","2008","Homeland Security","127.0m"
"Alternative Technology Revisions","2009","Homeland Security","117.3m"
"Commonwealth of the Northern Mariana Islands Transitional Worker Classification","2009","Homeland Security","13.2m"
"Pollution Prevention Equipment","2009","Homeland Security","25.0m"
"Prohibition on Federal Protective Service Guard Services Contracts","2009","Homeland Security","23.3k"
"Changes to Requirements Affecting H-2A Nonimmigrants","2008","Homeland Security","200.0k"
"Changes to the Visa Waiver Program to Implement the Electronic System","2008","Homeland Security","1.1b"
"Dominican Republic-Central America-United States Free Trade Agreement","2008","Homeland Security","0.0"
"SPECIAL COMMUNITY DISASTER LOANS PROGRAM","2005","Homeland Security","0.0"
"Designation of Taiwan for the Visa Waiver Program","2012","Homeland Security","0.0"
"Multi-Year Certificate of Documentation for Recreational Vessel Owners","2023","Homeland Security","-58.0m"
"Electrical Equipment in Hazardous Locations","2015","Homeland Security","1.0m"
"Electronic System for Travel Authorization","2015","Homeland Security","5.5b"
"Employment Authorization for Certain H-4 Dependent Spouses","2015","Homeland Security","257.4m"
"AUTOMTED COMMERCIAL ENVIRONMENT (ACE) FILINGS","2015","Homeland Security","0.0"
"MARPOL Annex I Amendments","2015","Homeland Security","24.2m"
"Public Assistance Program's Simplified Procedures Large Project Threshold","2022","Homeland Security","-1.4m"
"Temporary Non-Agricultural Employment of H-2B Aliens","2015","Homeland Security","11.3m"
"Exercise of Time-Limited Authority To Increase the Numerical Limitation for FY 2024 for the H-2B Temporary Nonagricultural Worker Program and Portability Flexibility for H-2B Workers Seeking To Change Employers","2023","Homeland Security","26.4m"
"Vessel Requirements for Notices of Arrival and Departure","2015","Homeland Security","46.5m"
"Wage Methodology for the Temporary Non-Agricultural Employment H-2B","2015","Homeland Security","555.0k"
"Consumer Price Index Adjustments of Oil Pollution Act","2015","Homeland Security","6.5m"
"Air Cargo Screening","2011","Homeland Security","2.1b"
"Lifesaving Equipment: Production Testing and Harmonization","2011","Homeland Security","913.0k"
"Establishment of Global Entry Program","2012","Homeland Security","82.0m"
"Updates to Marine Engineering Standards","2024","Homeland Security","-4.3m"
"Certificate of Documentation-5 Year Renewal Fees","2021","Homeland Security","-4.9m"
"Maryland Three Airports: Enhanced Security Procedures","2005","Homeland Security","63.9m"
"Enforcement of Copyrights and the Digital Millennium Copyright Act","2024","Homeland Security","0.0"
"Deferred Action for Childhood Arrivals","2022","Homeland Security","9.4b"
"Agreement Between the United States of America, the United Mexican States, and Canada (USMCA) Implementing Regulations Related to the Marking Rules, Tariff-Rate Quotas, and Other USMCA Provisions","2021","Homeland Security","0.0"
"Updates to Marine Engineering Standards","2021","Homeland Security","-9.8m"
"Financial Responsibility-Vessels; Superseded Pollution Funds","2021","Homeland Security","2.5m"
"Fire Safety of Small Passenger Vessels","2021","Homeland Security","0.0"
"Public Charge Ground of Inadmissibility","2022","Homeland Security","45.1m"
"Updates to Floodplain Management and Protection of Wetlands Regulations To Implement the Federal Flood Risk Management Standard","2024","Homeland Security","22.9m"
"National Urban Search and Rescue Response System","2005","Homeland Security","0.0"
"Electronic Signature and Storage of Form I-9","2010","Homeland Security","0.0"
"Air Cargo Screening","2009","Homeland Security","2.2b"
"Electronic System for Travel Authorization ","2010","Homeland Security","0.0"
"Aircraft Repair Station Security","2014","Homeland Security","23.1m"
"Elimination of Customs Broker District Permit Fee","2022","Homeland Security","-1.9m"
"Modernization of the Customs Broker Regulations","2022","Homeland Security","-974.0k"
"Waiver of Citizenship Requirements for Crewmembers","2014","Homeland Security","298.0k"
"Standards To Prevent, Detect, and Respond to Sexual Abuse","2014","Homeland Security","57.4m"
"Designation of Chile for the Visa Waiver Program","2014","Homeland Security","0.0"
"Change in Submission Requirements for State Mitigation Plans","2014","Homeland Security","-19.6m"
"The U.S. Asia-Pacific Economic Cooperation Business Travel Card Program","2014","Homeland Security","0.0"
"Registration Requirement for Petitioners Seeking To File H-1B Petitions on Behalf of Cap-Subject Aliens","2019","Homeland Security","-626.8m"
"ADJUSTMENT OF PASSENGER CIVIL AVIATION SECURITY SERVICE FEE ","2014","Homeland Security","0.0"
"Seafarers' Access to Maritime Facilities","2019","Homeland Security","74.9m"
"Changes to the Inland Navigation Rules","2014","Homeland Security","-2.7m"
"Exercise of Time-Limited Authority To Increase the Fiscal Year 2019 Numerical Limitation for the H-2B Temporary Nonagricultural Worker Program","2019","Homeland Security","11.9m"
"Lifesaving Equipment: Production Testing and Harmonization","2014","Homeland Security","1.4m"
"Amendments to the Marine Radar Observer Refresher Training Regulations","2019","Homeland Security","-67.9m"
"Pilots’ Medical Certificate Validity Period","2022","Homeland Security","-146.8k"
"Electronic Transmission of Passenger and Crew Manifests for Vessels","2005","Homeland Security","481.6m"
"EB-5 Immigrant Investor Program Modernization","2019","Homeland Security","751.0k"
"Lifesaving Devices-Uninspected Commercial Barges and Sailing Vessels","2014","Homeland Security","140.0k"
"Inadmissibility on Public Charge Grounds","2019","Homeland Security","352.0m"
"Cessation of the Aviation Security Infrastructure Fee (ASIF)","2014","Homeland Security","-591.0k"
"APPREHENSION, PROCESSING, CARE, AND CUSTODY OF ALIEN MINORS AND UNACCOMPANIED ALIEN CHILDREN","2019","Homeland Security","0.0"
"Designation of Poland for the Visa Waiver Program","2019","Homeland Security","0.0"
"Registration Fee Requirement for Petitioners Seeking To File H-1B Petitions on Behalf of Cap Subject Aliens","2019","Homeland Security","3.2m"
"Modernizing Recruitment Requirements for the Temporary Employment of H-2B Foreign Workers in the United States","2019","Homeland Security","-108.1m"
"Requirements for Certain Softwood Lumber Products","2008","Homeland Security","0.0"
"Hermit's Peak/Calf Canyon Fire Assistance","2022","Homeland Security","0.0"
"Standards and Practices for Conducting All Appropriate Inquiries","2008","Homeland Security","9.3m"
"Guam-Commonwealth of the Northern Mariana Islands (CNMI) Visa Waiver Program Automation and Electronic Travel Authorization; Creation of CNMI Economic Vitality & Security Travel Authorization Program (EVS-TAP)","2024","Homeland Security","7.0m"
"Individual Assistance Program Equity","2024","Homeland Security","-42.0m"
"Great Lakes Pilotage Modernization","2024","Homeland Security","-835.0k"
"Special Community Disaster Loans Program","2010","Homeland Security","1.3b"
"Authority To Increase the Fiscal Year 2017 Numerical Limitation for the H-2B","2017","Homeland Security","7.6m"
"Recreational Boat Flotation Standards","2017","Homeland Security","6.6m"
"Donations of Technology and Related Support Services To Enforce Intellectual Property Rights","2017","Homeland Security","0.0"
"U.S. Citizenship and Immigration Services Fee Schedule and Changes to Certain Other Immigration Benefit Request Requirements","2024","Homeland Security","1.1b"
"Marine Equipment on Board Vessels and Offshore Units or Facilities","2024","Homeland Security","-2.5m"
"Financial Responsibility for Water Pollution (Vessels) and OPA 90","2008","Homeland Security","260.0k"
"Improving the H-1B Registration Selection Process and Program Integrity","2024","Homeland Security","-15.4m"
"ALLOCATION OF ADDITIONAL H-1B VISAS","2005","Homeland Security","0.0"
"U.S. Citizenship and Immigration Services Fee Schedule","2010","Homeland Security","0.0"
"Frequency of Renewal Cycle for Indirect Air Carrier Security Programs","2024","Homeland Security","-5.4m"
"Minimum Standards for Driver's Licenses and Identification Cards","2008","Homeland Security","8.6b"
"Improving and Expanding Training Opportunities for F-1 Nonimmigrant Students","2016","Homeland Security","886.1m"
"Designation of Qatar for the Visa Waiver Program","2024","Homeland Security","0.0"
"Expansion of Provisional Unlawful Presence Waivers of Inadmissibility","2016","Homeland Security","64.2m"
"Transportation Worker Identification Credential (TWIC)-Reader Requirements","2016","Homeland Security","157.9m"
"Establishment of the Electronic Visa Update System (EVUS)","2016","Homeland Security","1.5b"
"U.S. CITIZENSHIP AND IMMIGRATION SERVICES FEE SCHEDULE ","2016","Homeland Security","0.0"
"Dry Cargo Residue Discharges in the Great Lakes","2008","Homeland Security","512.0k"
"Standards for Living Organisms in Ships' Ballast Water","2012","Homeland Security","649.0m"
"Retention of EB-1, EB-2, and EB-3 Immigrant Workers","2016","Homeland Security","706.3m"
"Definition of Form I-94 To Include Electronic Format","2016","Homeland Security","72.1m"
"Update to Electrical Engineering Regulations","2023","Homeland Security","-91.0k"
"Vessel Incidental Discharge National Standards of Performance","2024","Homeland Security","-219.8m"
"Removal of Obsolete Procedures and Requirements Related to F, J, and M Nonimmigrants","2022","Homeland Security","-161.0k"
"Exercise of Time-Limited Authority To Increase the Numerical Limitation for FY 2023 for the H-2B Temporary Nonagricultural Worker Program and Portability Flexibility for H-2B Workers Seeking To Change Employers","2022","Homeland Security","7.6m"
"Changes to Standard Numbering System, Vessel Identification System","2012","Homeland Security","21.4m"
"Air Cargo Advance Screening (ACAS)","2018","Homeland Security","204.1m"
"Minimum Standards for Driver's Licenses and Identification Cards Acceptable by Federal Agencies for Official Purposes; Waiver for Mobile Driver's Licenses","2024","Homeland Security","552.0m"
"Modernized Drawback","2018","Homeland Security","58.9m"
"Marine Casualty Reporting Property Damage Thresholds","2018","Homeland Security","-456.0k"
"Consolidated Cruise Ship Security Regulations","2018","Homeland Security","166.0k"
"Investigation of Claims of Evasion of Antidumping and Countervailing Duties","2024","Homeland Security","23.6m"
"Exercise of Time-Limited Authority To Increase the Fiscal Year 2018 Numerical Limitation for the H-2B Temporary Nonagricultural Worker Program","2018","Homeland Security","10.3m"
"Circumvention of Lawful Pathways","2023","Homeland Security","22.8m"
"Ballast Water Management – Annual Reporting Requirement","2018","Homeland Security","-5.8k"
"Tankers-Automatic Pilot Systems","2018","Homeland Security","-79.0k"
"Provisional Unlawful Presence Waivers of Inadmissibility","2013","Homeland Security","538.1m"
"TWIC-Reader Requirements; Second Delay of Effective Date","2024","Homeland Security","-36.4m"
"Uniform Procedures for State Highway Safety Grant Programs","2013","Homeland Security","1.3m"
"National Flood Insurance Program Installment Payment Plan","2024","Homeland Security","30.0m"
"Period of Admission & Extension of Stay for Canadian, Mexican Citizens","2008","Homeland Security","-340.0k"
"Insurer Reporting Requirements","2013","Homeland Security","0.0"
"Exercise of Time-Limited Authority To Increase the Fiscal Year 2022 Numerical Limitation for the H-2B Temporary Nonagricultural Worker Program and Portability Flexibility for H-2B Workers Seeking To Change Employers","2022","Homeland Security","5.1m"
"Operational Risk Assessments for Waterfront Facilities Handling Liquefied Natural Gas as Fuel, and Updates to Industry Standards","2022","Homeland Security","-116.0k"
"Definition of Form I-94 To Include Electronic Format","2013","Homeland Security","180.8m"
"Marine Vapor Control Systems","2013","Homeland Security","9.3m"
"Early Warning Reporting, Foreign Defect Reporting","2013","Homeland Security","58.0m"
"Wage Methodology for the Temporary Non-Agricultural Employment H-2B Program","2013","Homeland Security","0.0"
"Bulk Packaging To Allow for Transfer of Hazardous Liquid Cargoes","2013","Homeland Security","-27.0k"
"Nontank Vessel Response Plans and Other Response Plan Requirements","2013","Homeland Security","263.0m"
"Removal of Obsolete Procedures and Requirements Related to F, J, and M Nonimmigrants","2024","Homeland Security","-194.0k"
"Chemical Facility Anti-Terrorism Standards","2007","Homeland Security","8.5b"
"Federal Motor Vehicle Safety Standards; Occupant Crash Protection","2013","Homeland Security","8.6m"
"Temporary Increase of the Automatic Extension Period of Employment Authorization and Documentation for Certain Employment Authorization Document Renewal Applicants","2024","Homeland Security","-5.2b"
"Hazard Mitigation Planning and Hazard Mitigation Grant Program","2007","Homeland Security","30.0m"
"Implementation of the Amendments to the International Convention","2013","Homeland Security","230.3m"
"Flood Mitigation Grants and Hazard Mitigation Planning","2007","Homeland Security","0.0"
"Flood Mitigation Assistance","2007","Homeland Security","8.8m"
"New Classification for Victims of Criminal Activity; Eligibility for “U” Nonimmigrant","2007","Homeland Security","6.2m"
"Electronic Submission of Mariner Course Completion Data","2024","Homeland Security","934.0k"
"Transportation Worker Identification Credential (TWIC) Implementation","2007","Homeland Security","3.2b"
"United States-Singapore Free Trade Agreement","2007","Homeland Security","0.0"
"Secure Flight Program","2008","Homeland Security","1.8b"
"Haitian Hemispheric Opportunity Through Partnership Encouragement Act of 2006","2007","Homeland Security","0.0"
"United States-Morocco Free Trade Agreement","2007","Homeland Security","0.0"
"Homeland Security Acquisition Regulation; Safeguarding of Controlled Unclassified Information","2023","Homeland Security","114.5m"
"Advance Electronic Transmission of Passenger and Crew Member Manifests","2007","Homeland Security","1.4b"
"IMMIGRATION AND NATURALIZATION BENEFIT APPLICATION","2007","Homeland Security","0.0"
"Exercise of Time-Limited Authority To Increase the Numerical Limitation for FY 2025 for the H-2B Temporary Nonagricultural Worker Program and Portability Flexibility for H-2B Workers Seeking To Change Employers","2024","Homeland Security","10.4m"
"Special Immigrant Juvenile Petitions","2022","Homeland Security","350.0k"
"Continuing Education for Licensed Customs Brokers","2023","Homeland Security","46.3m"
"Lifejacket Approval Harmonization","2024","Homeland Security","-8.8m"
"Documents for Travelers in US at Sea and Land Ports-of-Entry","2008","Homeland Security","3.3b"
"Optional Practical Training by 17 Months for F-1 Students With STEM","2008","Homeland Security","7.0m"
"Implementation of the Emergency Stopgap USCIS Stabilization Act","2022","Homeland Security","62.0m"
"Floodplain Management and Protection of Wetlands; Minimum Property Standards for Flood Hazard Exposure; Building to the Federal Flood Risk Management Standard","2024","Housing & Urban Development","44.8m"
"30-Day Notification Requirement Prior To Termination of Lease for Nonpayment of Rent","2024","Housing & Urban Development","4.8m"
"Simplify and Improve the Process of Obtaining Mortgages","2008","Housing & Urban Development","1.5b"
"Revisions to the Public Housing Operating Fund Program","2005","Housing & Urban Development","0.0"
"Conforming the Acceptable Separation Distance (ASD) Standards for Residential Propane Tanks to Industry Standards","2020","Housing & Urban Development","-25.9m"
"Streamlining and Aligning Formaldehyde Emission Control Standards for Certain Wood Products in Manufactured Home Construction With Title VI of the Toxic Substance Control Act","2020","Housing & Urban Development","-3.9m"
"Manufactured Home Construction and Safety Standards","2021","Housing & Urban Development","3.2m"
"Change in Default Reporting Period","2006","Housing & Urban Development","0.0"
"Preserving Community and Neighborhood Choice","2020","Housing & Urban Development","-71.1m"
"Enhancing and Streamlining the Implementation of Section 3 Requirements for Creating Economic Opportunities for Low- and Very Low-Income Persons and Eligible Businesses","2020","Housing & Urban Development","-3.7m"
"Manufactured Home Installation Program","2008","Housing & Urban Development","14.4m"
"Real Estate Settlement Procedures Act Disclosures","2012","Housing & Urban Development","0.0"
"Affirmatively Furthering Fair Housing","2015","Housing & Urban Development","42.4m"
"HOUSING TRUST FUND","2015","Housing & Urban Development","0.0"
"Emergency Homeowners' Loan Program","2011","Housing & Urban Development","128.1m"
"LICENSING STANDARDS AND OVERSIGHT RESPONSIBILITIES","2011","Housing & Urban Development","0.0"
"Manufactured Home Construction and Safety Standards","2005","Housing & Urban Development","29.6m"
"REFINEMENT OF INCOME AND RENT","2009","Housing & Urban Development","0.0"
"Prohibition on Use of Community Development Block Grant Assistance","2005","Housing & Urban Development","0.0"
"Project Approval for Single-Family Condominiums","2019","Housing & Urban Development","-900.0k"
"Homeless Emergency Assistance and Rapid Transition to Housing","2012","Housing & Urban Development","0.0"
"Manufactured Home Construction and Safety Standards","2024","Housing & Urban Development","25.2m"
"Housing Opportunity Through Modernization Act of 2016: Implementation of Sections 102, 103, and 104","2023","Housing & Urban Development","-52.0m"
"Reduction of Lead-Based Paint Hazards","2017","Housing & Urban Development","29.0m"
"Strengthening the Home Equity Conversion Mortgage Program","2017","Housing & Urban Development","1.9b"
"Streamlining Administrative Regulations for Multifamily Housing Programs","2017","Housing & Urban Development","-31.2m"
"HOPE for Homeowners Program; Statutory Transfer of Program Authority ","2010","Housing & Urban Development","0.0"
"Retrospective Review-Improving the Previous Participation Reviews","2016","Housing & Urban Development","0.0"
"ESTABLISHING A MORE EFFECTIVE FAIR MARKET RENT SYSTEM","2016","Housing & Urban Development","0.0"
"Instituting Smoke-Free Public Housing","2016","Housing & Urban Development","101.7m"
"Housing Counseling: New Certification Requirements","2016","Housing & Urban Development","3.9m"
"Modernizing HUD's Consolidated Planning Process To Narrow the Digital Divide","2016","Housing & Urban Development","426.0k"
"HOPE FOR HOMEOWNERS PROGRAM: PROGRAM REGULATIONS","2008","Housing & Urban Development","0.0"
"Economic Growth Regulatory Relief and Consumer Protection Act: Implementation of National Standards for the Physical Inspection of Real Estate (NSPIRE)","2023","Housing & Urban Development","59.9m"
"Streamlining Inspection Requirements for Federal Housing Administration (FHA) Single-Family Mortgage Insurance","2018","Housing & Urban Development","-63.0k"
"Streamlining Warranty Requirements for Federal Housing Administration (FHA) Single-Family Mortgage Insurance: Removal of the Ten-Year Protection Plan Requirements","2018","Housing & Urban Development","-30.0m"
"Manufactured Home Construction and Safety Standards, Test Procedures","2013","Housing & Urban Development","7.4m"
"Federal Housing Administration (FHA): Hospital Mortgage Insurance","2013","Housing & Urban Development","9.9m"
"Federal Housing Administration (FHA) Approval of Lending Institutions","2013","Housing & Urban Development","0.0"
"HOME Investment Partnerships Program: Improving Performance","2013","Housing & Urban Development","6.5m"
"Manufactured Home Dispute Resolution Program","2007","Housing & Urban Development","18.9m"
"Model Manufactured Home Installation Standards","2007","Housing & Urban Development","19.6m"
"Public Housing Capital Fund Program","2013","Housing & Urban Development","0.0"
"Floodplain Management and Protection of Wetlands","2013","Housing & Urban Development","100.0k"
"Manufactured Home Construction and Safety Standards","2013","Housing & Urban Development","4.0m"
"FHA: Section 232 Healthcare Facility Insurance Program","2012","Housing & Urban Development","90.0k"
"LATE-SEASON MIGRATORY BIRD HUNTING REGULATIONS ","2013","Interior","0.0"
"LIMITS FOR CERTAIN MIGRATORY GAME BIRDS ","2013","Interior","0.0"
"Fluid Mineral Leases and Leasing Process","2024","Interior","263.2m"
"MIGRATORY BIRD HUNTING REGULATIONS","2013","Interior","0.0"
"Eagle Permits; Changes in the Regulations Governing Eagle Permitting","2013","Interior","0.0"
"Risk Management and Financial Assurance for OCS Lease and Grant Obligations","2024","Interior","5.9b"
"ABANDONED MINE LAND PROGRAM","2008","Interior","0.0"
"Oil and Gas and Sulphur Operations in the Outer Continental Shelf-Plans","2005","Interior","375.0k"
"Reclamation Rural Water Supply Program","2008","Interior","0.0"
"FINAL FRAMEWORKS FOR EARLY-SEASON MIGRATORY BIRD HUNTING","2005","Interior","0.0"
"EARLY SEASONS AND BAG AND POSSESSION LIMITS","2005","Interior","0.0"
"CEDED LANDS FOR THE 2005-06 EARLY SEASON","2005","Interior","0.0"
"Designation of Critical Habitat for Oregon Chub","2010","Interior","13.2m"
"Oil Shale Management-General","2008","Interior","530.0k"
"Endangered and Threatened Wildlife and Plants","2010","Interior","46.7m"
"Oil and Gas and Sulfur Operations in the Outer Continental Shelf-Blowout Preventer Systems and Well Control Revisions","2023","Interior","2.5m"
"FINAL FRAMEWORKS FOR LATE-SEASON MIGRATORY BIRD HUNTING REGULATIONS","2012","Interior","0.0"
"MIGRATORY BIRD HUNTING; LATE SEASONS AND BAG AND POSSESSION LIMITS","2012","Interior","0.0"
"Rights-of-Way, Leasing, and Operations for Renewable Energy","2024","Interior","0.0"
"MIGRATORY BIRD HUNTING REGULATIONS ON CERTAIN FEDERAL INDIAN RESERVATIONS","2012","Interior","0.0"
"Indian Trust Management Reform","2008","Interior","0.0"
" FINAL FRAMEWORKS FOR LATE-SEASON","2005","Interior","0.0"
"FINAL FRAMEWORKS FOR EARLY-SEASON MIGRATORY BIRD HUNTING REGULATIONS","2012","Interior","0.0"
"MIGRATORY BIRD HUNTING; LATE SEASONS","2005","Interior","0.0"
"MIGRATORY BIRD HUNTING; Late Season","2005","Interior","0.0"
"Endangered and Threatened Wildlife and Plants","2010","Interior","45.0m"
"Gaming on Trust Lands Acquired After October 17, 1988","2008","Interior","0.0"
"Oil and Gas and Sulphur Operations Production Requirements","2010","Interior","9.2m"
"Truckee River Operating Agreement","2008","Interior","15.8m"
"Revision of Wastewater Treatment Exemptions for Hazardous Waste Mixtures","2005","Interior","-48.6m"
"Oil and Gas and Sulphur Operations in the OCS-Incident Reporting","2006","Interior","490.0k"
"Glacier Bay National Park, Vessel Management Plan Regulations","2006","Interior","0.0"
"Spoil, Coal Mine Waste, and Buffers for Perennial and Intermittent Streams","2008","Interior","260.0k"
"Education Contracts Under Johnson-O'Malley Act","2020","Interior","0.0"
"Designation of Critical Habitat for the Southern California Distinct","2006","Interior","12.9m"
"Standards, Assessments, and Accountability System","2020","Interior","0.0"
"Designation of Critical Habitat for the Laguna Mountains Skipper","2006","Interior","5.0m"
"Tribal Transportation Program; Inventory of Proposed Roads","2020","Interior","0.0"
"Migratory Bird Hunting; Final Frameworks for Early-Season","2006","Interior","0.0"
"Non-Energy Solid Leasable Minerals Royalty Rate Reduction Process","2020","Interior","-20.7m"
"Conservation and Landscape Health","2024","Interior","0.0"
"Migratory Bird Hunting; Late Seasons and Bag and Possession Limits","2006","Interior","0.0"
"Alaska Native Vietnam-Era Veterans Allotments","2020","Interior","0.0"
"FINAL FRAMEWORKS FOR LATE-SEASON MIGRATORY BIRD HUNTING","2006","Interior","0.0"
"Forest Management Decision Protest Process and Timber Sale Administration","2020","Interior","0.0"
"LATE SEASONS AND BAG AND POSSESSION LIMITS FOR CERTAIN MIGRATORY GAME BIRDS","2006","Interior","0.0"
"Final Rule To Designate Critical Habitat for the Santa Ana Sucker ","2005","Interior","21.8m"
"Migratory Bird Permits; Management of Conflicts Associated With Double-Crested Cormorants (Phalacrocorax auritus) Throughout the United States","2020","Interior","0.0"
"EARLY SEASONS AND BAG AND POSSESSION LIMITS","2006","Interior","0.0"
"FINAL FRAMEWORKS FOR EARLY-SEASON MIGRATORY BIRD HUNTING","2006","Interior","0.0"
"Endangered Status for Reticulated Flatwoods Salamander","2009","Interior","6.4m"
"Renewable Energy and Alternate Uses","2009","Interior","3.8m"
"Technical Changes to Production Measurement and Training Requirements","2009","Interior","104.0k"
"BIRD HUNTING REGULATIONS ON CERTAIN FEDERAL INDIAN RESERVATIONS","2009","Interior","0.0"
"LATE SEASONS AND BAG AND POSSESSION LIMITS","2009","Interior","0.0"
"FINAL FRAMEWORKS FOR LATE-SEASON MIGRATORY BIRD HUNTING ","2009","Interior","0.0"
"Renewable Energy Modernization Rule","2024","Interior","-1.3b"
"MIGRATORY BIRD HUNTING REGULATIONS ON CERTAIN FEDERAL INDIAN RESERVATIONS","2009","Interior","0.0"
"EARLY SEASONS AND BAG AND POSSESSION LIMITS","2009","Interior","0.0"
"FINAL FRAMEWORKS FOR EARLY-SEASON MIGRATORY BIRD HUNTING ","2009","Interior","0.0"
"ONRR 2020 Valuation Reform and Civil Penalty Rule","2021","Interior","24.7m"
"Glen Canyon National Recreation Area; Motor Vehicles","2021","Interior","0.0"
"Migratory Bird Hunting: Regulations on Certain Federal Indian Reservations and Ceded Lands for the 2021-22 Season","2021","Interior","0.0"
"2021-2022 Station-Specific Hunting and Sport Fishing Regulations","2021","Interior","0.0"
"Indian Business Incubators Program","2021","Interior","0.0"
"Paleontological Resources Preservation","2022","Interior","0.0"
"Open and Nondiscriminatory Movement of Oil and Gas","2008","Interior","0.0"
"Indian Oil Valuation Amendments","2015","Interior","2.7m"
"BIRD HUNTING REGULATIONS ON CERTAIN FEDERAL INDIAN RESERVATIONS AND CEDED LANDS FOR THE 2015-16 EARLY SEASON","2015","Interior","0.0"
"EARLY SEASONS AND BAG AND POSSESSION LIMITS","2011","Interior","0.0"
"MIGRATORY BIRD HUNTING; EARLY SEASONS AND BAG AND POSSESSION LIMITS","2015","Interior","0.0"
"Endangered and Threatened Wildlife and Plants; Final","2011","Interior","600.0k"
"FINAL FRAMEWORKS FOR EARLY-SEASON MIGRATORY BIRD HUNTING","2015","Interior","0.0"
"Endangered and Threatened Wildlife; Casey's June Beetle","2011","Interior","6.2m"
"MIGRATORY BIRD HUNTING REGULATIONS ON CERTAIN FEDERAL INDIAN RESERVATIONS: 2015-16 LATE SEASON","2015","Interior","0.0"
"FINAL FRAMEWORKS FOR EARLY-SEASON MIGRATORY BIRD HUNTING","2011","Interior","0.0"
"MIGRATORY BIRD HUNTING; LATE SEASONS AND BAG AND POSSESSION LIMITS","2015","Interior","0.0"
"FINAL FRAMEWORKS FOR LATE-SEASON MIGRATORY BIRD HUNTING","2011","Interior","0.0"
"MIGRATORY BIRD HUNTING; FINAL FRAMEWORKS FOR LATE-SEASON MIGRATORY BIRD HUNTING","2015","Interior","0.0"
"LATE SEASONS AND BAG AND POSSESSION LIMITS","2011","Interior","0.0"
"Leasing of Osage Reservation Lands for Oil and Gas Mining","2015","Interior","0.0"
"MIGRATORY BIRD HUNTING REGULATIONS ON INDIAN RESERVATIONS","2011","Interior","0.0"
"Listing Three Anaconda Species and One Python Species as Injurious Reptiles","2015","Interior","4.1m"
"MIGRATORY BIRD HUNTING REGULATIONS ON INDIAN RESERVATIONS","2011","Interior","0.0"
"Oil and Gas; Hydraulic Fracturing on Federal and Indian Lands","2015","Interior","49.9m"
"Paleontological Resources Preservation","2015","Interior","0.0"
"Housing Improvement Program","2015","Interior","0.0"
"Rights-of-Way on Indian Land","2015","Interior","2.2m"
"Unsealing of Means of Conveyance and Transloading of Products","2005","Interior","0.0"
"Native American Graves Protection and Repatriation Act Systematic Processes for Disposition or Repatriation of Native American Human Remains, Funerary Objects, Sacred Objects, and Objects of Cultural Patrimony","2023","Interior","-9.9m"
"Designation of Critical Habitat for Brodiaea filifolia","2005","Interior","3.3m"
" Designation of Critical Habitat for the Sonoma County Distinct Population","2005","Interior","196.3m"
"Residential, Business, and Wind and Solar Resource Leases on Indian Land","2012","Interior","0.0"
"Subsistence Management Regulations for Public Lands in Alaska-2024-25 and 2025-26 Subsistence Taking of Wildlife Regulations","2024","Interior","0.0"
"Oil and Gas and Sulfur Operations in the Outer Continental Shelf-High Pressure High Temperature Updates","2024","Interior","59.3m"
"Oil and Gas and Sulfur Operations in the Outer Continental Shelf-Blowout Preventer Systems and Well Control Revisions","2019","Interior","-1.5b"
"Designation of Critical Habitat for Jaguar","2014","Interior","420.0m"
